Abrán Aibreán
barránach bearránach
barrúilteacht barrúlacht
barthannach batharnach
baráiste borráiste
barúintí baraí
bas bos
basach bosach
basachán bosachán
basadaeir basadóir
basadóir ambasadóir
basaireacht bosaíl
basaíl basaíocht
basaíl bosaíl
bascaire bascarnach
bascaithe basctha
bascaod bascaed
baschrann boschrann
bascáid bascaed
baslach boslach
baslóg bachlóg
baslú baslach
basmas masmas
baspairt spaspas
baspairteach spaspasach
baspas spaspas
baspasach spaspasach
bastairt bastard
bastairtíocht bastardaíocht
bastallachas bastall
bastallacht bastall
bastart bastard
bastúnachas bastúnacht
bastúntaíocht bastúnacht
basóg boiseog
batalang matalang
bathae beithé
bathais baithis
bathalach bathlach
bathalóg bathlach
beachtaire beachtaí
beachóg beach
bead beidh mé
beadal méadail
beadhg bíog
beagaidín beagadán
beagmhaith beagmhaitheas
beagmhaitheach beagmhaitheasach
beaic bac
beaiceáil baiceáil
bealaitheacht bealaíocht
bealaíonach ealaíonta
bealtaí bealaí
bealthaigh bealaigh
bealthaíocht bealaíocht
bealáil bealú
bealáilte bealaithe
bean bain
beanbach binbeach
beangadh biongadh
beanglán beangán
beann binn
beannachadh beannú
beannacht beannachtaí
beannaitheacht beannaíocht
beannaíocha beanna
beanntracha beanna
beanntracha binne
beannóg binneog
bear bioranna
beara bioranna
bearacha bioranna
bearadóir bioradóir
bearanna bioranna
bearbh beirigh
bearbóir bearrthachán
bearbóir bearrthóir
bearn bearna
bearnacha bearnaí
bearnadh bearna
bearnain bearna
bearnan bearna
bearnaíocha bearnaí
bearrachán bearrthachán
bearradóir bearrthóir
bearradóireacht bearrthóireacht
bearrthóir bearrthachán
beart beartaigh
beartha beirthe
beartrach beirtreach
beartúlacht beartaíocht
bearád bairéad
bearúch bearach
beathach beitheach
beathach beithíoch
beathadh beatha
beathadhach beithíoch
beathaidh beatha
beathaimín vitimín
beathaíoch beathach
beathrach beithre
beathúch beathach
beathúil beathach
beibe bibe
beibhealaigh beibheal
beidearán béadán
beidearánach béadánach
beighdeán béadán
beinn binn
beirbh beirigh
beirbhthean beirfean
beirfidh béarfaidh
beirgiún beargún
beiric beairic
beirt beart
beith bith
beithe beith
beitheach beathach
beitheog beith
beithreach beithre
beithte beite
beithíoch beathach
beo breo
beochadh beochan
beochaint beochan
beodha beo
beodha beoga
beodhachaint beochan
beodhacht beocht
beodhachtaint beochan
beodhas beocht
beodhúil beoga
beodhúlacht beocht
beoganta beoga
beoghonann beoghoineann
beoil béala
beoil béil
beol béal
beola béala
beomhar beoga
beos beocht
beoú beochan
bheir rug
bheir tugann
bheireadh thugadh
bheireann tugann
bhoil bhuel
bhéadh bheadh
bhéarfadh thabharfadh
bhéarfaidh tabharfaidh
bhíc bíog
bhícearnach bíogarnach
bhínéagar fínéagar
bhínéagra fínéagar
bhínéigre fínéagar
biadh bia
biadhadh biathú
biadhaire biatach
biadhaiste biaiste
biadhmhar biamhar
biadhta biata
biadhtach biatach
biadán béadán
biaitine béitín
biast péist
biastamhail péistiúil
biataigh biathaigh
biataire biatach
bib bibe
bige bige
billeog bileog
